method,method_label,metric,target,n_reached,median_rate,q10_rate,q90_rate
simclr_z,InfoNCE critic space z,coarse_retention,0.5,3,4.277583561096509,4.270953769186524,4.282793472068566
simclr_z,InfoNCE critic space z,coarse_retention,0.8,3,6.265462651239789,6.2594035840434685,6.270530760543821
simclr_z,InfoNCE critic space z,coarse_retention,0.9,3,6.862914719952977,6.857986352295964,6.867136345409225
simclr_z,InfoNCE critic space z,fine_retention,0.5,3,4.208235824333277,4.206003651416193,4.2096211393251455
simclr_z,InfoNCE critic space z,fine_retention,0.8,3,6.271818750888073,6.2696289915170125,6.273277219102714
simclr_z,InfoNCE critic space z,fine_retention,0.9,3,6.895530819093044,6.893959816637048,6.896771807011004
simclr_z,InfoNCE critic space z,fine_increment_retention,0.5,3,4.236292723535932,4.226516961746172,4.257805459394895
simclr_z,InfoNCE critic space z,fine_increment_retention,0.8,3,6.4080239416419875,6.4004912735721815,6.427265646536838
simclr_z,InfoNCE critic space z,fine_increment_retention,0.9,3,7.046836249532248,7.0408060435964455,7.061677016881745
simclr_h,SimCLR encoder h,coarse_retention,0.5,3,4.047488930560582,4.041300364761052,4.058377720417334
simclr_h,SimCLR encoder h,coarse_retention,0.8,3,6.118273400960694,6.108216139149916,6.12721064140312
simclr_h,SimCLR encoder h,coarse_retention,0.9,3,6.771079803007305,6.76407001812565,6.77918878446797
simclr_h,SimCLR encoder h,fine_retention,0.5,3,4.024399217628086,4.02243178382872,4.028850958256957
simclr_h,SimCLR encoder h,fine_retention,0.8,3,6.161840103557978,6.158782152452437,6.165176240021896
simclr_h,SimCLR encoder h,fine_retention,0.9,3,6.836483724858536,6.834025867379096,6.839424791216348
simclr_h,SimCLR encoder h,fine_increment_retention,0.5,3,4.148589234813602,4.131527201741126,4.151653838407084
simclr_h,SimCLR encoder h,fine_increment_retention,0.8,3,6.341676424805942,6.332076474024441,6.350654609458598
simclr_h,SimCLR encoder h,fine_increment_retention,0.9,3,7.017349250923162,7.0102163429694135,7.022990831189193
pixel,pixel MSE,coarse_retention,0.5,3,5.153261118607918,5.153252630399781,5.153280754598118
pixel,pixel MSE,coarse_retention,0.8,3,6.795094424494541,6.795022069309973,6.7952430274341955
pixel,pixel MSE,coarse_retention,0.9,3,7.232138777739558,7.232125906659458,7.232145519101117
pixel,pixel MSE,fine_retention,0.5,3,4.827892368581679,4.827770633974311,4.827952905442072
pixel,pixel MSE,fine_retention,0.8,3,6.619629185706061,6.619612258613736,6.619664432042071
pixel,pixel MSE,fine_retention,0.9,3,7.141247459980215,7.1412099479817766,7.141266104413581
pixel,pixel MSE,fine_increment_retention,0.5,3,4.414888637041452,4.414798907948595,4.414932880522418
pixel,pixel MSE,fine_increment_retention,0.8,3,6.357972744991644,6.357955628833068,6.357981231615606
pixel,pixel MSE,fine_increment_retention,0.9,3,6.985561587406378,6.985550408761997,6.985567006473297
random_z,random encoder,coarse_retention,0.5,3,5.140379533588593,5.137373571007923,5.155030273240946
random_z,random encoder,coarse_retention,0.8,3,6.781832922740721,6.7754692164093715,6.78443803603671
random_z,random encoder,coarse_retention,0.9,3,7.219651338289278,7.216933767834231,7.22473789091955
random_z,random encoder,fine_retention,0.5,3,4.841559927157864,4.8400702304028025,4.854629526799751
random_z,random encoder,fine_retention,0.8,3,6.621670738717602,6.617676147136599,6.623524450638306
random_z,random encoder,fine_retention,0.9,3,7.127907041500715,7.124449320857328,7.13020887892474
random_z,random encoder,fine_increment_retention,0.5,3,4.354018429704221,4.312894139441136,4.374360665549738
random_z,random encoder,fine_increment_retention,0.8,3,6.293040366579958,6.277389619495015,6.298916231841816
random_z,random encoder,fine_increment_retention,0.9,3,6.944012630156437,6.93373463566771,6.945919165899534
supervised_h,supervised reference,coarse_retention,0.5,3,3.0910314042103675,3.0771243124967125,3.09236835981976
supervised_h,supervised reference,coarse_retention,0.8,3,4.913402741626805,4.9056726515090245,4.9201932939451885
supervised_h,supervised reference,coarse_retention,0.9,3,5.581435126882847,5.577537940952846,5.5821592761851715
supervised_h,supervised reference,fine_retention,0.5,3,3.083829058402055,3.083731607580958,3.0843077956790372
supervised_h,supervised reference,fine_retention,0.8,3,5.030373001464413,5.030356096470476,5.041435851185415
supervised_h,supervised reference,fine_retention,0.9,3,5.735702334425921,5.729396276543293,5.7616907133461455
supervised_h,supervised reference,fine_increment_retention,0.5,3,3.451079140752738,3.4421197753204886,3.4854828543846987
supervised_h,supervised reference,fine_increment_retention,0.8,3,5.541068443319055,5.518119735092047,5.588431968433793
supervised_h,supervised reference,fine_increment_retention,0.9,3,6.2460769232313265,6.218264311661356,6.297384579969187
