variant,label,mode,K,requested_checkpoint,checkpoint_unit,effective_batch_size,channel_row_kl_median,channel_row_kl_q10,channel_row_kl_q90,channel_row_kl_last_median,channel_row_kl_last_q10,channel_row_kl_last_q90,critic_mse_mod_gauge_median,critic_mse_mod_gauge_q10,critic_mse_mod_gauge_q90,critic_mse_mod_gauge_last_median,critic_mse_mod_gauge_last_q10,critic_mse_mod_gauge_last_q90
baseline,"constant, B=512",matched,1,50,steps,512,0.043982014936544016,0.0371154466761196,0.05166659125441947,0.043982014936544016,0.0371154466761196,0.05166659125441947,0.2619014459522747,0.175824239497621,0.32397956521974985,0.2619014459522747,0.175824239497621,0.32397956521974985
baseline,"constant, B=512",matched,1,100,steps,512,0.018274900038013395,0.016877715173002277,0.020641906954904157,0.018274900038013395,0.016877715173002277,0.020641906954904157,0.13248409279666998,0.08103921177167062,0.16077572716992156,0.13248409279666998,0.08103921177167062,0.16077572716992156
baseline,"constant, B=512",matched,1,180,steps,512,0.013194048481718861,0.012534103789703804,0.013897375545045536,0.013194048481718861,0.012534103789703804,0.013897375545045536,0.0729969595665217,0.04864004880896877,0.08653878366783745,0.0729969595665217,0.04864004880896877,0.08653878366783745
baseline,"constant, B=512",matched,1,300,steps,512,0.012172601528342316,0.011082841632555901,0.013878865072784513,0.012172601528342316,0.011082841632555901,0.013878865072784513,0.046757530180366186,0.03723568484867851,0.05926627484111931,0.046757530180366186,0.03723568484867851,0.05926627484111931
baseline,"constant, B=512",matched,1,500,steps,512,0.012162434573723391,0.011376655335304476,0.013066496837650475,0.012162434573723391,0.011376655335304476,0.013066496837650475,0.03811104286345553,0.03493265394124839,0.0461125481590557,0.03811104286345553,0.03493265394124839,0.0461125481590557
baseline,"constant, B=512",matched,1,750,steps,512,0.012885319227742827,0.011428372002135175,0.0132564947986518,0.012885319227742827,0.011428372002135175,0.0132564947986518,0.03767748867085188,0.036595118350302894,0.04395591893349098,0.03767748867085188,0.036595118350302894,0.04395591893349098
baseline,"constant, B=512",matched,1,1100,steps,512,0.01245524681248281,0.010985487879822802,0.01368268480716245,0.01245524681248281,0.010985487879822802,0.01368268480716245,0.03699680816987551,0.03458779988310517,0.04148733148468948,0.03699680816987551,0.03458779988310517,0.04148733148468948
baseline,"constant, B=512",matched,1,1450,steps,512,0.012852316407581336,0.011946634979348334,0.014554114694832877,0.012852316407581336,0.011946634979348334,0.014554114694832877,0.03882607089139253,0.03464990343742612,0.04217919582419348,0.03882607089139253,0.03464990343742612,0.04217919582419348
baseline,"constant, B=512",matched,1,1800,steps,512,0.01277098998676426,0.011973786389110855,0.01398564588270306,0.01277098998676426,0.011973786389110855,0.01398564588270306,0.03805120065764749,0.03520495225816647,0.04135662931497116,0.03805120065764749,0.03520495225816647,0.04135662931497116
baseline,"constant, B=512",matched,4,50,steps,512,0.026950507727922318,0.024166817751751262,0.03502800252011027,0.026950507727922318,0.024166817751751262,0.03502800252011027,0.1967192540396526,0.13436044575106454,0.2680179804594954,0.1967192540396526,0.13436044575106454,0.2680179804594954
baseline,"constant, B=512",matched,4,100,steps,512,0.011677484613732341,0.010679592942243799,0.012327022411840588,0.011677484613732341,0.010679592942243799,0.012327022411840588,0.09650590364492631,0.06302474931804296,0.12672131880905232,0.09650590364492631,0.06302474931804296,0.12672131880905232
baseline,"constant, B=512",matched,4,180,steps,512,0.008995656457701087,0.008469111599382483,0.01005346462747008,0.008995656457701087,0.008469111599382483,0.01005346462747008,0.05233248644874304,0.03537246727099231,0.06913582784531896,0.05233248644874304,0.03537246727099231,0.06913582784531896
baseline,"constant, B=512",matched,4,300,steps,512,0.009026368845203168,0.008212354734228326,0.009536577734921057,0.009026368845203168,0.008212354734228326,0.009536577734921057,0.037058158632815384,0.028622554002814576,0.04356089705698716,0.037058158632815384,0.028622554002814576,0.04356089705698716
baseline,"constant, B=512",matched,4,500,steps,512,0.009401418447078199,0.008018277537754848,0.009732514925747927,0.009401418447078199,0.008018277537754848,0.009732514925747927,0.03141623287312468,0.029314781875861354,0.03637086162583053,0.03141623287312468,0.029314781875861354,0.03637086162583053
baseline,"constant, B=512",matched,4,750,steps,512,0.008849573414441328,0.007926378244979554,0.009700346364021064,0.008849573414441328,0.007926378244979554,0.009700346364021064,0.027732203067688532,0.02583408370455633,0.03228198971061809,0.027732203067688532,0.02583408370455633,0.03228198971061809
baseline,"constant, B=512",matched,4,1100,steps,512,0.009135599189043251,0.008616895681479284,0.010005671853185918,0.009135599189043251,0.008616895681479284,0.010005671853185918,0.029591767251363053,0.026894753586098878,0.031597020149653196,0.029591767251363053,0.026894753586098878,0.031597020149653196
baseline,"constant, B=512",matched,4,1450,steps,512,0.009182518819237935,0.008304995165003609,0.010018148629017438,0.009182518819237935,0.008304995165003609,0.010018148629017438,0.02959164842819617,0.025743364141125567,0.0317997415006506,0.02959164842819617,0.025743364141125567,0.0317997415006506
baseline,"constant, B=512",matched,4,1800,steps,512,0.00911995461434353,0.008604290430752217,0.009979919195335172,0.00911995461434353,0.008604290430752217,0.009979919195335172,0.028430194797697,0.026554696062125287,0.034311572858133986,0.028430194797697,0.026554696062125287,0.034311572858133986
baseline,"constant, B=512",matched,32,50,steps,512,0.02095608531342195,0.018143665856947214,0.025291216676760115,0.02095608531342195,0.018143665856947214,0.025291216676760115,0.17846587143177167,0.11845476195695949,0.25384091791170715,0.17846587143177167,0.11845476195695949,0.25384091791170715
baseline,"constant, B=512",matched,32,100,steps,512,0.00986612454394516,0.009303637492751276,0.010744221775712267,0.00986612454394516,0.009303637492751276,0.010744221775712267,0.08710414016205802,0.057190952556051666,0.12617569140378657,0.08710414016205802,0.057190952556051666,0.12617569140378657
baseline,"constant, B=512",matched,32,180,steps,512,0.008216668329381047,0.00742136398075235,0.009312662714296491,0.008216668329381047,0.00742136398075235,0.009312662714296491,0.04839821995736461,0.03402945855153509,0.06769859393146054,0.04839821995736461,0.03402945855153509,0.06769859393146054
baseline,"constant, B=512",matched,32,300,steps,512,0.007938137825036908,0.007623403970729283,0.008434833853771884,0.007938137825036908,0.007623403970729283,0.008434833853771884,0.03465920678391279,0.028446583747539982,0.04336843809863485,0.03465920678391279,0.028446583747539982,0.04336843809863485
baseline,"constant, B=512",matched,32,500,steps,512,0.008171483220669105,0.007326556565609176,0.008771013498930065,0.008171483220669105,0.007326556565609176,0.008771013498930065,0.029552313801894412,0.02668171166086116,0.03207460062810927,0.029552313801894412,0.02668171166086116,0.03207460062810927
baseline,"constant, B=512",matched,32,750,steps,512,0.007965100033819884,0.007067271314919148,0.008314985491539395,0.007965100033819884,0.007067271314919148,0.008314985491539395,0.027684695821800553,0.023339195614850154,0.029674070789807692,0.027684695821800553,0.023339195614850154,0.029674070789807692
baseline,"constant, B=512",matched,32,1100,steps,512,0.007942244205852938,0.007055869177607204,0.0081211341962465,0.007942244205852938,0.007055869177607204,0.0081211341962465,0.025529508794369715,0.02292890550049504,0.030113979366831113,0.025529508794369715,0.02292890550049504,0.030113979366831113
baseline,"constant, B=512",matched,32,1450,steps,512,0.008060085535032936,0.007719572252561962,0.009171219964477118,0.008060085535032936,0.007719572252561962,0.009171219964477118,0.027543065552253512,0.024980915678642007,0.03091974257198455,0.027543065552253512,0.024980915678642007,0.03091974257198455
baseline,"constant, B=512",matched,32,1800,steps,512,0.007778615386756244,0.0068622936380673015,0.008486998191226766,0.007778615386756244,0.0068622936380673015,0.008486998191226766,0.02754767355431605,0.024247209192846154,0.030165947488165045,0.02754767355431605,0.024247209192846154,0.030165947488165045
baseline,"constant, B=512",unmatched,1,50,steps,512,0.03974435054902518,0.03600246260911436,0.04594053688654434,0.03974435054902518,0.03600246260911436,0.04594053688654434,0.2135198954767997,0.18168189985072483,0.35345094467597354,0.2135198954767997,0.18168189985072483,0.35345094467597354
baseline,"constant, B=512",unmatched,1,100,steps,512,0.017740026553901195,0.016231652157275223,0.01880746339159239,0.017740026553901195,0.016231652157275223,0.01880746339159239,0.10908391535172288,0.0835283236897846,0.1849529562378971,0.10908391535172288,0.0835283236897846,0.1849529562378971
baseline,"constant, B=512",unmatched,1,180,steps,512,0.013062855017571772,0.012160769258520436,0.013525492692859695,0.013062855017571772,0.012160769258520436,0.013525492692859695,0.06390285906537133,0.047127658587099906,0.1042233569306568,0.06390285906537133,0.047127658587099906,0.1042233569306568
baseline,"constant, B=512",unmatched,1,300,steps,512,0.012976075709469143,0.012511773945120572,0.014589427505632597,0.012976075709469143,0.012511773945120572,0.014589427505632597,0.04578463255203569,0.03833109883484652,0.06922462382220457,0.04578463255203569,0.03833109883484652,0.06922462382220457
baseline,"constant, B=512",unmatched,1,500,steps,512,0.01233553992687369,0.011653404301724965,0.013089863046003335,0.01233553992687369,0.011653404301724965,0.013089863046003335,0.03848410294047202,0.03420043186774478,0.05061123162420766,0.03848410294047202,0.03420043186774478,0.05061123162420766
baseline,"constant, B=512",unmatched,1,750,steps,512,0.012744488974187628,0.011904637058622169,0.014215718418988365,0.012744488974187628,0.011904637058622169,0.014215718418988365,0.03815358635713869,0.034128490362241366,0.04520810845098467,0.03815358635713869,0.034128490362241366,0.04520810845098467
baseline,"constant, B=512",unmatched,1,1100,steps,512,0.012540686518823044,0.011138112347210256,0.012963012894585698,0.012540686518823044,0.011138112347210256,0.012963012894585698,0.03625908671595515,0.03288315596409802,0.0429690418565221,0.03625908671595515,0.03288315596409802,0.0429690418565221
baseline,"constant, B=512",unmatched,1,1450,steps,512,0.012885417169474538,0.011586088849864952,0.014581759989338925,0.012885417169474538,0.011586088849864952,0.014581759989338925,0.03782765346439026,0.03331937017032243,0.04178740801212196,0.03782765346439026,0.03331937017032243,0.04178740801212196
baseline,"constant, B=512",unmatched,1,1800,steps,512,0.012958478523289067,0.011949913259434845,0.014573152751652852,0.012958478523289067,0.011949913259434845,0.014573152751652852,0.03979251534092949,0.03461406273494445,0.04256981964781804,0.03979251534092949,0.03461406273494445,0.04256981964781804
baseline,"constant, B=512",unmatched,4,50,steps,512,0.02526995671463681,0.02233178890924267,0.029068721931731503,0.02526995671463681,0.02233178890924267,0.029068721931731503,0.17123940545501332,0.13939555487340294,0.29507747023662023,0.17123940545501332,0.13939555487340294,0.29507747023662023
baseline,"constant, B=512",unmatched,4,100,steps,512,0.010992216715953105,0.010382637751761618,0.011721119616224544,0.010992216715953105,0.010382637751761618,0.011721119616224544,0.08281773324808428,0.06214999853614344,0.1511215194662181,0.08281773324808428,0.06214999853614344,0.1511215194662181
baseline,"constant, B=512",unmatched,4,180,steps,512,0.009513568565717914,0.008472421917577314,0.010190468086779791,0.009513568565717914,0.008472421917577314,0.010190468086779791,0.049639896007346904,0.03627340986858417,0.0851068234440115,0.049639896007346904,0.03627340986858417,0.0851068234440115
baseline,"constant, B=512",unmatched,4,300,steps,512,0.009600759704282796,0.008787875048864068,0.010449790835478782,0.009600759704282796,0.008787875048864068,0.010449790835478782,0.037419396332219516,0.029776021005174798,0.05945976292443321,0.037419396332219516,0.029776021005174798,0.05945976292443321
baseline,"constant, B=512",unmatched,4,500,steps,512,0.00899707810262482,0.007757037318936178,0.01013711465091896,0.00899707810262482,0.007757037318936178,0.01013711465091896,0.030367117205265394,0.02369493314223196,0.040227083693023157,0.030367117205265394,0.02369493314223196,0.040227083693023157
baseline,"constant, B=512",unmatched,4,750,steps,512,0.009475016780870687,0.008846873271339416,0.01039432515804271,0.009475016780870687,0.008846873271339416,0.01039432515804271,0.030872324656783894,0.02818744657364207,0.03492548325898618,0.030872324656783894,0.02818744657364207,0.03492548325898618
baseline,"constant, B=512",unmatched,4,1100,steps,512,0.009732915040066643,0.00898551250767991,0.010184178534009405,0.009732915040066643,0.00898551250767991,0.010184178534009405,0.028857793378665578,0.025584959830029005,0.033718546841168574,0.028857793378665578,0.025584959830029005,0.033718546841168574
baseline,"constant, B=512",unmatched,4,1450,steps,512,0.009577341561177538,0.008951144802700864,0.010255000986340945,0.009577341561177538,0.008951144802700864,0.010255000986340945,0.029863193446315214,0.02789127663773948,0.03367035910883759,0.029863193446315214,0.02789127663773948,0.03367035910883759
baseline,"constant, B=512",unmatched,4,1800,steps,512,0.009147806140750902,0.008699889486740666,0.009789341219176885,0.009147806140750902,0.008699889486740666,0.009789341219176885,0.02846650489199859,0.02672239494750692,0.03649117938507797,0.02846650489199859,0.02672239494750692,0.03649117938507797
baseline,"constant, B=512",unmatched,32,50,steps,512,0.0198952041776018,0.018268308525372867,0.023489602618883776,0.0198952041776018,0.018268308525372867,0.023489602618883776,0.15758485550688586,0.1287243003619372,0.26937747015348107,0.15758485550688586,0.1287243003619372,0.26937747015348107
baseline,"constant, B=512",unmatched,32,100,steps,512,0.01001931692490389,0.009230811191577513,0.011088757735526688,0.01001931692490389,0.009230811191577513,0.011088757735526688,0.07696036765951925,0.05661171749566999,0.14552537585119302,0.07696036765951925,0.05661171749566999,0.14552537585119302
baseline,"constant, B=512",unmatched,32,180,steps,512,0.007868095541846854,0.007301532010144435,0.008469582137041711,0.007868095541846854,0.007301532010144435,0.008469582137041711,0.04530914352459148,0.03576039577391909,0.07683482834232126,0.04530914352459148,0.03576039577391909,0.07683482834232126
